metric,value
dialogues_total,5011
dialogues_train,5011
dialogues_val,0
dialogues_test,0
turns_total,100412
turns_with_metadata,100412
turns_user,224
turns_system,0
turns_per_dialogue_min,1
turns_per_dialogue_p25,16
turns_per_dialogue_median,20
turns_per_dialogue_p75,23
turns_per_dialogue_max,55
turns_per_dialogue_mean,20.04
slot_states_total,325002
slot_states_none_like,75958
slot_states_none_like_pct,23.37
slot_states_dontcare,0
slot_states_dontcare_pct,0.00
slot_states_filled,249044
slot_states_filled_pct,76.63
aggregate_turn_level_alignment_%,0.15
