slot_name,observed,none_like,dontcare,total_seen,exact_%,normalized_%,not_aligned_%
attraction-area,7742,0,0,7742,58.36,0.00,41.64
attraction-name,8405,0,0,8405,52.86,3.06,44.08
attraction-type,8353,0,0,8353,83.54,0.00,16.46
hotel-area,9507,0,0,9507,85.58,0.00,14.42
hotel-bookday,5007,0,0,5007,99.52,0.00,0.48
hotel-bookpeople,4950,0,0,4950,52.93,0.00,47.07
hotel-bookstay,4794,0,0,4794,56.53,0.00,43.47
hotel-internet,7122,0,0,7122,39.74,0.00,60.26
hotel-name,13416,0,0,13416,90.20,1.30,8.50
hotel-parking,7439,0,0,7439,41.46,0.00,58.54
hotel-pricerange,8448,0,0,8448,35.42,0.00,64.58
hotel-stars,8434,0,0,8434,92.46,0.00,7.54
hotel-type,10892,0,0,10892,94.04,0.00,5.96
restaurant-area,14311,0,0,14311,64.22,0.00,35.78
restaurant-bookday,4794,0,0,4794,98.73,0.00,1.27
restaurant-bookpeople,4800,0,0,4800,59.13,0.00,40.88
restaurant-booktime,4665,0,0,4665,72.99,0.06,26.95
restaurant-food,15673,0,0,15673,94.03,0.00,5.97
restaurant-name,13293,0,0,13293,86.71,3.32,9.98
restaurant-pricerange,13275,0,0,13275,29.28,0.00,70.72
taxi-arriveby,2319,0,0,2319,97.97,0.00,2.03
taxi-departure,4520,0,0,4520,89.27,3.41,7.32
taxi-destination,4897,0,0,4897,88.56,2.61,8.82
taxi-leaveat,2622,0,0,2622,91.00,0.11,8.89
train-arriveby,9275,0,0,9275,97.95,0.00,2.05
train-bookpeople,7736,0,0,7736,75.89,0.00,24.11
train-day,20018,0,0,20018,99.97,0.00,0.03
train-departure,20090,0,0,20090,93.46,6.26,0.28
train-destination,20187,0,0,20187,94.88,5.11,0.01
train-leaveat,9309,0,0,9309,94.17,0.18,5.65
train-trainid,2501,24,0,2525,99.32,0.00,0.68
