metric,value
dialogues_total,10438
dialogues_train,8438
dialogues_val,1000
dialogues_test,1000
turns_total,143048
turns_with_metadata,71527
turns_user,71524
turns_system,71524
turns_per_dialogue_min,2
turns_per_dialogue_p25,10
turns_per_dialogue_median,14
turns_per_dialogue_p75,18
turns_per_dialogue_max,44
turns_per_dialogue_mean,13.70
slot_states_total,1905583
slot_states_none_like,1598943
slot_states_none_like_pct,83.91
slot_states_dontcare,12156
slot_states_dontcare_pct,0.64
slot_states_filled,306640
slot_states_filled_pct,16.09
value_alignment_none,1611099
value_alignment_non_none_total,294484
value_alignment_exact,244356
value_alignment_exact_pct,82.98
value_alignment_normalized,1285
value_alignment_normalized_pct,0.44
value_alignment_not_aligned,48843
value_alignment_not_aligned_pct,16.59
