metric,value
examples,887725
dialogues,21005
examples_per_dialogue_avg,42.26
unique_slots,173603
target_none,294009
target_none_pct,33.12
target_filled,593716
target_filled_pct,66.88
context_length_min,22
context_length_p25,487
context_length_median,938
context_length_p75,1571
context_length_max,8162
context_length_mean,1140
,
VALUE_ALIGNMENT_LAYERED,
,"Per-example, using dialogue_context model receives"
,
OVERALL,
none_examples,294009
non_none_examples,593716
exact_count,425296
exact_pct,71.63
normalized_count,430548
normalized_pct,72.52
not_aligned_count,163168
not_aligned_pct,27.48
,
BY_DATASET,
,
dataset_d0t,
  none,75965
  non_none_total,249037
  exact,120320
  exact_pct,48.31
  normalized,1872
  normalized_pct,0.75
  not_aligned,126845
  not_aligned_pct,50.93
,
dataset_luas,
  none,24
  non_none_total,278794
  exact,240922
  exact_pct,86.42
  normalized,3380
  normalized_pct,1.21
  not_aligned,34492
  not_aligned_pct,12.37
,
dataset_multiwoz24,
  none,218020
  non_none_total,65885
  exact,64054
  exact_pct,97.22
  normalized,0
  normalized_pct,0.00
  not_aligned,1831
  not_aligned_pct,2.78
